target,origin,score,max_score,grade,prompt-injection-hidden,llms-txt-present,robots-ai-stance,structured-data,transparency-contact,error
openai.com,,,,,,,,,,"Could not fetch https://openai.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
anthropic.com,https://anthropic.com,60,100,C,40,0,5,0,15,
mistral.ai,https://mistral.ai,75,100,B,40,15,5,0,15,
cohere.com,https://cohere.com,90,100,A,40,15,5,15,15,
perplexity.ai,,,,,,,,,,"Could not fetch https://perplexity.ai: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
huggingface.co,https://huggingface.co,60,100,C,40,0,5,0,15,
stability.ai,https://stability.ai,85,100,B,40,0,15,15,15,
x.ai,,,,,,,,,,"Could not fetch https://x.ai: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
deepmind.google,https://deepmind.google,90,100,A,40,15,5,15,15,
scale.com,https://scale.com,60,100,C,40,0,5,0,15,
salesforce.com,https://salesforce.com,83,100,B,40,15,5,15,8,
hubspot.com,https://hubspot.com,75,100,B,40,0,5,15,15,
slack.com,https://slack.com,75,100,B,40,15,5,0,15,
zoom.us,https://zoom.us,75,100,B,40,0,5,15,15,
notion.so,https://notion.so,75,100,B,40,15,5,0,15,
atlassian.com,https://atlassian.com,90,100,A,40,15,5,15,15,
asana.com,https://asana.com,90,100,A,40,15,5,15,15,
monday.com,https://monday.com,100,100,A,40,15,15,15,15,
airtable.com,https://airtable.com,60,100,C,40,0,5,0,15,
dropbox.com,https://dropbox.com,90,100,A,40,15,5,15,15,
box.com,https://box.com,75,100,B,40,0,5,15,15,
shopify.com,https://shopify.com,90,100,A,40,15,5,15,15,
stripe.com,https://stripe.com,90,100,A,40,15,5,15,15,
intercom.com,https://intercom.com,90,100,A,40,15,5,15,15,
zendesk.com,https://zendesk.com,90,100,A,40,15,5,15,15,
figma.com,https://figma.com,78,100,B,40,0,15,15,8,
canva.com,,,,,,,,,,"Could not fetch https://canva.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
calendly.com,https://calendly.com,100,100,A,40,15,15,15,15,
docusign.com,https://docusign.com,75,100,B,40,0,5,15,15,
twilio.com,https://twilio.com,90,100,A,40,15,5,15,15,
github.com,https://github.com,75,100,B,40,15,5,0,15,
gitlab.com,https://gitlab.com,75,100,B,40,0,5,15,15,
