target,origin,score,max_score,grade,prompt-injection-hidden,llms-txt-present,robots-ai-stance,structured-data,transparency-contact,sitemap-present,answerability,meta-robots,mcp-signal,error
openai.com,,,,,,,,,,,,,,"Could not fetch https://openai.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
anthropic.com,https://anthropic.com,64,100,C,40,0,5,0,9,5,0,5,0,
mistral.ai,https://mistral.ai,76,100,B,40,12,5,0,9,3,2,5,0,
cohere.com,https://cohere.com,90,100,A,40,12,5,12,9,5,2,5,0,
perplexity.ai,,,,,,,,,,,,,,"Could not fetch https://perplexity.ai: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
huggingface.co,https://huggingface.co,64,100,C,40,0,5,0,9,5,0,5,0,
stability.ai,https://stability.ai,83,100,B,40,0,12,12,9,5,0,5,0,
x.ai,,,,,,,,,,,,,,"Could not fetch https://x.ai: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
deepmind.google,https://deepmind.google,88,100,B,40,12,5,12,9,5,0,5,0,
scale.com,https://scale.com,64,100,C,40,0,5,0,9,5,0,5,0,
salesforce.com,https://salesforce.com,89,100,B,40,12,5,12,5,5,5,5,0,
hubspot.com,https://hubspot.com,78,100,B,40,0,5,12,9,5,2,5,0,
slack.com,https://slack.com,76,100,B,40,12,5,0,9,5,0,5,0,
zoom.us,https://zoom.us,76,100,B,40,0,5,12,9,5,0,5,0,
notion.so,https://notion.so,76,100,B,40,12,5,0,9,5,0,5,0,
atlassian.com,https://atlassian.com,88,100,B,40,12,5,12,9,5,0,5,0,
asana.com,https://asana.com,88,100,B,40,12,5,12,9,5,0,5,0,
monday.com,https://monday.com,95,100,A,40,12,12,12,9,5,0,5,0,
airtable.com,https://airtable.com,66,100,C,40,0,5,0,9,5,2,5,0,
dropbox.com,https://dropbox.com,91,100,A,40,12,5,12,9,3,5,5,0,
box.com,https://box.com,76,100,B,40,0,5,12,9,5,0,5,0,
shopify.com,https://shopify.com,90,100,A,40,12,5,12,9,5,2,5,0,
stripe.com,https://stripe.com,91,100,A,40,12,5,12,9,3,5,5,0,
intercom.com,https://intercom.com,93,100,A,40,12,5,12,9,5,5,5,0,
zendesk.com,https://zendesk.com,90,100,A,40,12,5,12,9,5,2,5,0,
figma.com,https://figma.com,79,100,B,40,0,12,12,5,5,0,5,0,
canva.com,,,,,,,,,,,,,,"Could not fetch https://canva.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
calendly.com,https://calendly.com,98,100,A,40,12,12,12,9,3,5,5,0,
docusign.com,https://docusign.com,78,100,B,40,0,5,12,9,5,2,5,0,
twilio.com,https://twilio.com,88,100,B,40,12,5,12,9,5,0,5,0,
github.com,https://github.com,71,100,C,40,12,5,0,9,0,0,5,0,
gitlab.com,https://gitlab.com,76,100,B,40,0,5,12,9,5,0,5,0,
vercel.com,https://vercel.com,90,100,A,40,12,5,12,9,5,2,5,0,
netlify.com,https://netlify.com,95,100,A,40,12,12,12,9,3,2,5,0,
cloudflare.com,https://cloudflare.com,95,100,A,40,12,12,12,9,5,0,5,0,
digitalocean.com,https://digitalocean.com,64,100,C,40,0,5,0,9,3,2,5,0,
heroku.com,https://heroku.com,91,100,A,40,12,5,12,9,3,5,5,0,
npmjs.com,,,,,,,,,,,,,,"Could not fetch https://npmjs.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
